,entity,tag
345,SETCLIENTID4args,0
346,structure,0
347,c,0
349,be,0
350,the,0
351,value,0
352,of,0
353,the,0
354,client,0
355,ID,0
356,field,0
357,returned,0
358,in,0
359,the,0
360,SETCLIENTID4resok,0
361,structure,0
362,k,0
364,represent,0
365,the,0
366,value,0
367,combination,0
368,of,0
369,the,0
370,callback,0
371,and,0
372,callback_ident,0
373,fields,0
374,of,0
375,the,0
376,SETCLIENTID4args,0
377,structure,0
378,s,0
380,be,0
381,the,0
382,setclientid_confirm,0
383,value,0
384,returned,0
385,in,0
386,the,0
387,SETCLIENTID4resok,0
388,structure,0
389,{,0
390,"v,",0
391,"x,",0
392,"c,",0
393,"k,",0
394,s,0
395,},0
397,be,0
398,a,0
399,quintuple,0
400,for,0
401,a,0
402,client,0
403,record,0
404,<NULL>.,0
406,A,0
407,client,0
408,record,0
409,is,0
410,confirmed,0
411,if,0
412,there,0
413,has,0
414,been,0
415,a,0
416,SETCLIENTID_CONFIRM,0
417,operation,0
418,to,0
419,confirm,0
420,it,0
421,<NULL>.,0
423,"Otherwise,",0
424,it,0
425,is,0
426,unconfirmed,0
427,<NULL>.,0
429,An,0
430,unconfirmed,0
431,record,0
432,is,0
433,established,0
434,by,0
435,a,0
436,SETCLIENTID,0
437,call,0
438,Since,0
439,SETCLIENTID,0
440,is,0
441,a,0
442,non-idempotent,0
443,"operation,",0
444,let,0
445,us,0
446,assume,0
447,that,0
448,the,0
449,server,0
450,is,0
451,implementing,0
452,the,0
453,duplicate,0
454,request,0
455,cache,0
456,(DRC),0
457,When,0
458,the,0
459,server,0
460,gets,0
461,a,0
462,SETCLIENTID,0
463,{,0
464,"v,",0
465,"x,",0
466,k,0
467,},0
468,"request,",0
469,it,0
470,processes,0
471,it,0
472,in,0
473,the,0
474,following,0
475,manner,0
476,o,0
478,It,0
479,first,0
480,looks,0
481,up,0
482,the,0
483,request,0
484,in,0
485,the,0
486,DRC,0
487,<NULL>.,0
489,If,0
490,there,0
491,is,0
492,a,0
493,"hit,",0
494,it,0
495,returns,0
496,the,0
497,result,0
498,cached,0
499,in,0
500,the,0
501,DRC,0
502,<NULL>.,0
504,The,0
505,server,0
506,does,0
507,NOT,0
508,remove,0
509,client,0
510,state,0
511,"(locks,",0
512,"shares,",0
513,"delegations),",0
514,nor,0
515,does,0
516,it,0
517,modify,0
518,any,0
519,recorded,0
520,callback,0
521,and,0
522,callback_ident,0
523,information,0
524,for,0
525,client,0
526,{,0
527,x,0
528,},0
529,For,0
530,any,0
531,DRC,0
532,"miss,",0
533,the,0
534,server,0
535,takes,0
536,the,0
537,client,0
538,ID,0
539,string,0
540,"x,",0
541,and,0
542,searches,0
543,for,0
544,client,0
545,records,0
546,for,0
547,x,0
548,that,0
549,the,0
550,server,0
551,may,0
552,have,0
553,recorded,0
554,from,0
555,previous,0
556,SETCLIENTID,0
557,calls,0
558,<NULL>.,0
560,For,0
561,any,0
562,confirmed,0
563,record,0
564,with,0
565,the,0
566,same,0
567,id,0
568,string,0
569,"x,",0
570,if,0
571,the,0
572,recorded,0
573,principal,0
574,does,0
575,not,0
576,match,0
577,that,0
578,of,0
579,the,0
580,SETCLIENTID,0
581,"call,",0
582,then,0
583,the,0
584,server,0
585,returns,0
586,an,0
587,NFS4ERR_CLID_INUSE,0
588,error,0
589,For,0
590,brevity,0
591,of,0
592,"discussion,",0
593,the,0
594,remaining,0
595,description,0
596,of,0
597,the,0
598,processing,0
599,assumes,0
600,that,0
601,there,0
602,was,0
603,a,0
604,DRC,0
605,"miss,",0
606,and,0
607,that,0
608,where,0
609,the,0
610,server,0
611,has,0
612,previously,0
613,recorded,0
614,a,0
615,confirmed,0
616,record,0
617,for,0
618,client,0
619,"x,",0
620,the,0
621,aforementioned,0
622,principal,0
623,check,0
624,has,0
625,successfully,0
626,passed,0
627,o,0
629,The,0
630,server,0
631,checks,0
632,if,0
633,it,0
634,has,0
635,recorded,0
636,a,0
637,confirmed,0
638,record,0
639,for,0
640,{,0
641,"v,",0
642,"x,",0
643,"c,",0
644,"l,",0
645,s,0
646,"},",0
647,where,0
648,l,0
649,may,0
650,or,0
651,may,0
652,not,0
653,equal,0
654,k,0
655,<NULL>.,0
657,If,0
658,"so,",0
659,and,0
660,since,0
661,the,0
662,id,0
663,verifier,0
664,v,0
665,of,0
666,the,0
667,request,0
668,matches,0
669,that,0
670,which,0
671,is,0
672,confirmed,0
673,and,0
674,"recorded,",0
675,the,0
676,server,0
677,treats,0
678,this,0
679,as,0
680,a,0
681,probable,0
682,callback,0
683,information,0
684,update,0
685,and,0
686,records,0
687,an,0
688,unconfirmed,0
689,{,0
690,"v,",0
691,"x,",0
692,"c,",0
693,"k,",0
694,t,0
695,},0
696,and,0
697,leaves,0
698,the,0
699,confirmed,0
700,{,0
701,"v,",0
702,"x,",0
703,"c,",0
704,"l,",0
705,s,0
706,},0
707,in,0
708,"place,",0
709,such,0
710,that,0
711,t,0
712,!=,0
713,s,0
714,<NULL>.,0
716,It,0
717,does,0
718,not,0
719,matter,0
720,whether,0
721,k,0
722,equals,0
723,l,0
724,or,0
725,not,0
726,<NULL>.,0
728,Any,0
729,pre-existing,0
730,unconfirmed,0
731,{,0
732,"v,",0
733,"x,",0
734,"c,",0
735,"*,",0
736,*,0
737,},0
738,is,0
739,removed,0
740,The,0
741,server,0
742,returns,0
743,{,0
744,"c,",0
745,t,0
746,},0
747,<NULL>.,0
749,It,0
750,is,0
751,indeed,0
752,returning,0
753,the,0
754,old,0
755,clientid4,0
756,value,0
757,"c,",0
758,because,0
759,the,0
760,client,0
761,apparently,0
762,only,0
763,wants,0
764,to,0
765,update,0
766,callback,0
767,value,0
768,k,0
769,to,0
770,value,0
771,l,0
772,<NULL>.,0
774,It's,0
775,possible,0
776,this,0
777,request,0
778,is,0
779,one,0
780,from,0
781,the,0
782,Byzantine,0
783,router,0
784,that,0
785,has,0
786,stale,0
787,callback,0
788,"information,",0
789,but,0
790,this,0
791,is,0
792,not,0
793,a,0
794,problem,0
795,<NULL>.,0
797,The,0
798,callback,0
799,information,0
800,update,0
801,is,0
802,only,0
803,confirmed,0
804,if,0
805,followed,0
806,up,0
807,by,0
808,a,0
809,SETCLIENTID_CONFIRM,0
810,{,0
811,"c,",0
812,t,0
813,},0
814,The,0
815,server,0
816,awaits,0
817,confirmation,0
818,of,0
819,k,0
820,via,0
821,SETCLIENTID_CONFIRM,0
822,{,0
823,"c,",0
824,t,0
825,},0
826,The,0
827,server,0
828,does,0
829,NOT,0
830,remove,0
831,client,0
832,(lock/share/delegation),0
833,state,0
834,for,0
835,x,0
836,o,0
838,The,0
839,server,0
840,has,0
841,previously,0
842,recorded,0
843,a,0
844,confirmed,0
845,{,0
846,"u,",0
847,"x,",0
848,"c,",0
849,"l,",0
850,s,0
851,},0
852,record,0
853,such,0
854,that,0
855,v,0
856,!=,0
857,"u,",0
858,l,0
859,may,0
860,or,0
861,may,0
862,not,0
863,equal,0
864,"k,",0
865,and,0
866,has,0
867,not,0
868,recorded,0
869,any,0
870,unconfirmed,0
871,{,0
872,"*,",0
873,"x,",0
874,"*,",0
875,"*,",0
876,*,0
877,},0
878,record,0
879,for,0
880,x,0
881,<NULL>.,0
883,The,0
884,server,0
885,records,0
886,an,0
887,unconfirmed,0
888,{,0
889,"v,",0
890,"x,",0
891,"d,",0
892,"k,",0
893,t,0
894,},0
895,(d,0
896,!=,0
897,"c,",0
898,t,0
899,!=,0
900,s),0
901,The,0
902,server,0
903,returns,0
904,{,0
905,"d,",0
906,t,0
907,},0
908,The,0
909,server,0
910,awaits,0
911,confirmation,0
912,of,0
913,{,0
914,"d,",0
915,k,0
916,},0
917,via,0
918,SETCLIENTID_CONFIRM,0
919,{,0
920,"d,",0
921,t,0
922,},0
923,The,0
924,server,0
925,does,0
926,NOT,0
927,remove,0
928,client,0
929,(lock/share/delegation),0
930,state,0
931,for,0
932,x,0
933,o,0
935,The,0
936,server,0
937,has,0
938,previously,0
939,recorded,0
940,a,0
941,confirmed,0
942,{,0
943,"u,",0
944,"x,",0
945,"c,",0
946,"l,",0
947,s,0
948,},0
949,record,0
950,such,0
951,that,0
952,v,0
953,!=,0
954,"u,",0
955,l,0
956,may,0
957,or,0
958,may,0
959,not,0
960,equal,0
961,"k,",0
962,and,0
963,recorded,0
964,an,0
965,unconfirmed,0
966,{,0
967,"w,",0
968,"x,",0
969,"d,",0
970,"m,",0
971,t,0
972,},0
973,record,0
974,such,0
975,that,0
976,c,0
977,!=,0
978,"d,",0
979,t,0
980,!=,0
981,"s,",0
982,m,0
983,may,0
984,or,0
985,may,0
986,not,0
987,equal,0
988,"k,",0
989,m,0
990,may,0
991,or,0
992,may,0
993,not,0
994,equal,0
995,"l,",0
996,and,0
997,k,0
998,may,0
999,or,0
1000,may,0
1001,not,0
1002,equal,0
1003,l,0
1004,<NULL>.,0
1006,Whether,0
1007,w,0
1008,==,0
1009,v,0
1010,or,0
1011,w,0
1012,!=,0
1013,v,0
1014,makes,0
1015,no,0
1016,difference,0
1017,<NULL>.,0
1019,The,0
1020,server,0
1021,simply,0
1022,removes,0
1023,the,0
1024,unconfirmed,0
1025,{,0
1026,"w,",0
1027,"x,",0
1028,"d,",0
1029,"m,",0
1030,t,0
1031,},0
1032,record,0
1033,and,0
1034,replaces,0
1035,it,0
1036,with,0
1037,an,0
1038,unconfirmed,0
1039,{,0
1040,"v,",0
1041,"x,",0
1042,"e,",0
1043,"k,",0
1044,r,0
1045,},0
1046,"record,",0
1047,such,0
1048,that,0
1049,e,0
1050,!=,0
1051,"d,",0
1052,e,0
1053,!=,0
1054,"c,",0
1055,r,0
1056,!=,0
1057,"t,",0
1058,r,0
1059,!=,0
1060,s,0
1061,The,0
1062,server,0
1063,returns,0
1064,{,0
1065,"e,",0
1066,r,0
1067,},0
1068,The,0
1069,server,0
1070,awaits,0
1071,confirmation,0
1072,of,0
1073,{,0
1074,"e,",0
1075,k,0
1076,},0
1077,via,0
1078,SETCLIENTID_CONFIRM,0
1079,{,0
1080,"e,",0
1081,r,0
1082,},0
1083,The,0
1084,server,0
1085,does,0
1086,NOT,0
1087,remove,0
1088,client,0
1089,(lock/share/delegation),0
1090,state,0
1091,for,0
1092,x,0
1093,o,0
1095,The,0
1096,server,0
1097,has,0
1098,no,0
1099,confirmed,0
1100,{,0
1101,"*,",0
1102,"x,",0
1103,"*,",0
1104,"*,",0
1105,*,0
1106,},0
1107,for,0
1108,x,0
1109,<NULL>.,0
1111,It,0
1112,may,0
1113,or,0
1114,may,0
1115,not,0
1116,have,0
1117,recorded,0
1118,an,0
1119,unconfirmed,0
1120,{,0
1121,"u,",0
1122,"x,",0
1123,"c,",0
1124,"l,",0
1125,s,0
1126,"},",0
1127,where,0
1128,l,0
1129,may,0
1130,or,0
1131,may,0
1132,not,0
1133,equal,0
1134,"k,",0
1135,and,0
1136,u,0
1137,may,0
1138,or,0
1139,may,0
1140,not,0
1141,equal,0
1142,v,0
1143,<NULL>.,0
1145,Any,0
1146,unconfirmed,0
1147,record,0
1148,{,0
1149,"u,",0
1150,"x,",0
1151,"c,",0
1152,"l,",0
1153,*,0
1154,"},",0
1155,regardless,0
1156,of,0
1157,whether,0
1158,u,0
1159,==,0
1160,v,0
1161,or,0
1162,l,0
1163,==,0
1164,"k,",0
1165,is,0
1166,replaced,0
1167,with,0
1168,an,0
1169,unconfirmed,0
1170,record,0
1171,{,0
1172,"v,",0
1173,"x,",0
1174,"d,",0
1175,"k,",0
1176,t,0
1177,},0
1178,where,0
1179,d,0
1180,!=,0
1181,"c,",0
1182,t,0
1183,!=,0
1184,s,0
1185,The,0
1186,server,0
1187,returns,0
1188,{,0
1189,"d,",0
1190,t,0
1191,},0
1192,The,0
1193,server,0
1194,awaits,0
1195,confirmation,0
1196,of,0
1197,{,0
1198,"d,",0
1199,k,0
1200,},0
1201,via,0
1202,SETCLIENTID_CONFIRM,0
1203,{,0
1204,"d,",0
1205,t,0
1206,},0
1207,<NULL>.,0
1209,The,0
1210,server,0
1211,does,0
1212,NOT,0
1213,remove,0
1214,client,0
1215,(lock/share/delegation),0
1216,state,0
1217,for,0
1218,x,0
1219,The,0
1220,server,0
1221,generates,0
1222,the,0
1223,clientid,0
1224,and,0
1225,setclientid_confirm,0
1226,values,0
1227,and,0
1228,must,0
1229,take,0
1230,care,0
1231,to,0
1232,ensure,0
1233,that,0
1234,these,0
1235,values,0
1236,are,0
1237,extremely,0
1238,unlikely,0
1239,to,0
1240,ever,0
1241,be,0
1242,regenerated,0
1243,16.15.4.,0
1245,This,0
1246,operation,0
1247,is,0
1248,used,0
1249,to,0
1250,prefix,0
1251,a,0
1252,sequence,0
1253,of,0
1254,operations,0
1255,to,0
1256,be,0
1257,performed,0
1258,if,0
1259,one,0
1260,or,0
1261,more,0
1262,attributes,0
1263,have,0
1264,changed,0
1265,on,0
1266,some,0
1267,file,0
1268,system,0
1269,object,0
1270,<NULL>.,0
1272,If,0
1273,all,0
1274,the,0
1275,attributes,Variable
1276,"match,",0
1277,then,0
1278,the,0
1279,error,0
1280,NFS4ERR_SAME,Value
1281,must,0
1282,be,0
1283,returned,0
1284,<NULL>,Value
1285,On,0
1286,success,Value
1288,the,0
1289,current filehandle,Variable
1290,retains,0
1291,its,0
1292,value,Variable
1293,<NULL>,Variable
1294,16.15.5.,0
1296,This,0
1297,operation,0
1298,is,0
1299,useful,0
1300,as,0
1301,a,0
1302,cache,0
1303,validation,0
1304,operator,0
1305,<NULL>.,0
1307,If,0
1308,the,0
1309,object,0
1310,to,0
1311,which,0
1312,the,0
1313,attributes,0
1314,belong,0
1315,has,0
1316,"changed,",0
1317,then,0
1318,the,0
1319,following,0
1320,operations,0
1321,may,0
1322,obtain,0
1323,new,0
1324,data,0
1325,associated,0
1326,with,0
1327,that,0
1328,object,0
1329,--,0
1330,for,0
1331,"instance,",0
1332,to,0
1333,check,0
1334,if,0
1335,a,0
1336,file,0
1337,has,0
1338,been,0
1339,changed,0
1340,and,0
1341,obtain,0
1342,new,0
1343,data,0
1344,if,0
1345,it,0
1346,PUTFH,0
1348,LOOKUP,0
1349,NVERIFY,0
1350,attrbits,0
1351,READ,0
1352,0,0
1353,In,0
1354,the,0
1355,case,0
1356,that,0
1357,a,0
1358,RECOMMENDED,0
1359,attribute,0
1360,is,0
1361,specified,0
1362,in,0
1363,the,0
1364,NVERIFY,0
1365,operation,0
1366,and,0
1367,the,0
1368,server,0
1369,does,0
1370,not,0
1371,support,0
1372,that,0
1373,attribute,Variable
1374,for,0
1375,the,0
1376,file,0
1377,system,0
1378,"object,",0
1379,the,0
1380,error,0
1381,NFS4ERR_ATTRNOTSUPP,Value
1382,is,0
1383,returned,0
1384,to,0
1385,the,0
1386,client,0
1387,<NULL>,Variable
1388,When,0
1389,the,0
1390,attribute,0
1391,rdattr_error,0
1392,or,0
1393,any,0
1394,write-only,0
1395,attribute,0
1396,"(e.g.,",0
1397,time_modify_set),0
1398,is,0
1399,"specified,",0
1400,the,0
1401,error,0
1402,NFS4ERR_INVAL,Value
1403,is,0
1404,returned,0
1405,to,0
1407,the,0
1408,client,0
1409,<NULL>,Variable
1410,16.24.4.,0
1412,The,0
1413,READDIR,0
1414,operation,0
1415,retrieves,0
1416,a,0
1417,variable,0
1418,number,0
1419,of,0
1420,entries,0
1421,from,0
1422,a,0
1423,file,0
1424,system,0
1425,directory,0
1426,and,0
1427,for,0
1428,each,0
1429,entry,0
1430,returns,0
1431,attributes,0
1432,that,0
1433,were,0
1434,requested,0
1435,by,0
1436,the,0
1437,"client,",0
1438,along,0
1439,with,0
1440,information,0
1441,to,0
1442,allow,0
1443,the,0
1444,client,0
1445,to,0
1446,request,0
1447,additional,0
1448,directory,0
1449,entries,0
1450,in,0
1451,a,0
1452,subsequent,0
1453,READDIR,0
1454,The,0
1455,arguments,0
1456,contain,0
1457,a,0
1458,cookie,Variable
1459,value,0
1460,that,0
1461,represents,0
1462,where the READDIR should start within the directory,Value
1463,<NULL>.,0
1465,A,0
1466,value,0
1467,of,0
1468,0 (zero),Value
1469,for,0
1470,the,0
1471,cookie,Variable
1472,is,0
1473,used,0
1474,to,0
1475,start,0
1476,reading,0
1477,at,0
1478,the,0
1479,beginning,0
1480,of,0
1481,the,0
1482,directory,0
1483,<NULL>.,0
1485,For,0
1486,subsequent,0
1487,READDIR,0
1488,"requests,",0
1489,the,0
1490,client,0
1491,specifies,0
1492,a cookie value,Variable
1493,that,0
1494,is,0
1495,provided by the server in a previous READDIR request,Value
1496,The,0
1497,cookieverf,0
1498,value,0
1499,should,0
1500,be,0
1501,set,0
1502,to,0
1503,0,0
1504,(zero),0
1505,when,0
1506,the,0
1507,cookie,0
1508,value,0
1509,is,0
1510,0,0
1511,(zero),0
1512,(first,0
1513,directory,0
1514,read),0
1515,<NULL>.,0
1517,On,0
1518,subsequent,0
1519,"requests,",0
1520,it,0
1521,should,0
1522,be,0
1523,a,0
1524,cookieverf,0
1525,as,0
1526,returned,0
1527,by,0
1528,the,0
1529,server,0
1530,<NULL>.,0
1532,The,0
1533,cookieverf,0
1534,must,0
1535,match,0
1536,that,0
1537,returned,0
1538,by,0
1539,the,0
1540,READDIR,0
1541,in,0
1542,which,0
1543,the,0
1544,cookie,0
1545,was,0
1546,acquired,0
1547,<NULL>.,0
1549,If,0
1550,the,0
1551,server,0
1552,determines,0
1553,that,0
1554,the,0
1555,cookieverf,Variable
1556,is,0
1557,no,0
1558,longer,0
1559,valid,Value
1560,for,0
1561,the,0
1562,"directory,",0
1563,the,0
1564,error,0
1565,NFS4ERR_NOT_SAME,Value
1566,must,0
1567,be,0
1568,returned,0
1569,<NULL>,Variable
1570,The,0
1571,dircount,0
1572,portion,0
1573,of,0
1574,the,0
1575,argument,0
1576,is,0
1577,a,0
1578,hint,0
1579,of,0
1580,the,0
1581,maximum,0
1582,number,0
1583,of,0
1584,bytes,0
1585,of,0
1586,directory,0
1587,information,0
1588,that,0
1589,should,0
1590,be,0
1591,returned,0
1592,<NULL>.,0
1594,This,0
1595,value,0
1596,represents,0
1597,the,0
1598,length,0
1599,of,0
1600,the,0
1601,names,0
1602,of,0
1603,the,0
1604,directory,0
1605,entries,0
1606,and,0
1607,the,0
1608,cookie,0
1609,value,0
1610,for,0
1611,these,0
1612,entries,0
1613,<NULL>.,0
1615,This,0
1616,length,0
1617,represents,0
1618,the,0
1619,XDR,0
1620,encoding,0
1621,of,0
1622,the,0
1623,data,0
1624,(names,0
1625,and,0
1626,cookies),0
1627,and,0
1628,not,0
1629,the,0
1630,length,0
1631,in,0
1632,the,0
1633,native,0
1634,format,0
1635,of,0
1636,the,0
1637,server,0
1638,The,0
1639,maxcount,0
1640,value,0
1641,of,0
1642,the,0
1643,argument,0
1644,is,0
1645,the,0
1646,maximum,0
1647,number,0
1648,of,0
1649,bytes,0
1650,for,0
1651,the,0
1652,result,0
1653,<NULL>.,0
1655,This,0
1656,maximum,0
1657,size,0
1658,represents,0
1659,all,0
1660,of,0
1661,the,0
1662,data,0
1663,being,0
1664,returned,0
1665,within,0
1666,the,0
1667,READDIR4resok,0
1668,structure,0
1669,and,0
1670,includes,0
1671,the,0
1672,XDR,0
1673,overhead,0
1674,<NULL>.,0
1676,The,0
1677,server,0
1678,may,0
1679,return,0
1680,less,0
1681,data,0
1682,<NULL>.,0
1684,If,0
1685,the,0
1686,server,0
1687,is,0
1688,unable,0
1689,to,0
1690,return,0
1691,a,0
1692,single,0
1693,directory,0
1694,entry,0
1695,within,0
1696,the,0
1697,maxcount,0
1698,"limit,",0
1699,the,0
1700,error,0
1701,NFS4ERR_TOOSMALL,0
1702,will,0
1703,be,0
1704,returned,0
1705,to,0
1706,the,0
1707,client,0
1708,"Finally,",0
1709,attr_request,0
1710,represents,0
1711,the,0
1712,list,0
1713,of,0
1714,attributes,0
1715,to,0
1716,be,0
1717,returned,0
1718,for,0
1719,each,0
1720,directory,0
1721,entry,0
1722,supplied,0
1723,by,0
1724,the,0
1725,server,0
1726,On,0
1727,successful,0
1728,"return,",0
1729,the,0
1730,server's,0
1731,response,0
1732,will,0
1733,provide,0
1734,a,0
1735,list,0
1736,of,0
1737,directory,0
1738,entries,0
1739,<NULL>.,0
1741,Each,0
1742,of,0
1743,these,0
1744,entries,0
1745,contains,0
1746,the,0
1747,name,0
1748,of,0
1749,the,0
1750,directory,0
1751,"entry,",0
1752,a,0
1753,cookie,0
1754,value,0
1755,for,0
1756,that,0
1757,"entry,",0
1758,and,0
1759,the,0
1760,associated,0
1761,attributes,0
1762,as,0
1763,requested,0
1764,<NULL>.,0
1766,The,0
1767,"""eof""",0
1768,flag,0
1769,has,0
1770,a,0
1771,value,0
1772,of,0
1773,TRUE,0
1774,if,0
1775,there,0
1776,are,0
1777,no,0
1778,more,0
1779,entries,0
1780,in,0
1781,the,0
1782,directory,0
1783,The,0
1784,cookie,0
1785,value,0
1786,is,0
1787,only,0
1788,meaningful,0
1789,to,0
1790,the,0
1791,server,0
1792,and,0
1793,is,0
1794,used,0
1795,as,0
1796,a,0
1797,"""bookmark""",0
1798,for,0
1799,the,0
1800,directory,0
1801,entry,0
1802,<NULL>.,0
1804,As,0
1805,"mentioned,",0
1806,this,0
1807,cookie,0
1808,is,0
1809,used,0
1810,by,0
1811,the,0
1812,client,0
1813,for,0
1814,subsequent,0
1815,READDIR,0
1816,operations,0
1817,so,0
1818,that,0
1819,it,0
1820,may,0
1821,continue,0
1822,reading,0
1823,a,0
1824,directory,0
1825,<NULL>.,0
1827,The,0
1828,cookie,0
1829,is,0
1830,similar,0
1831,in,0
1832,concept,0
1833,to,0
1834,a,0
1835,READ,0
1836,offset,0
1837,but,0
1838,should,0
1839,not,0
1840,be,0
1841,interpreted,0
1842,as,0
1843,such,0
1844,by,0
1845,the,0
1846,client,0
1847,<NULL>.,0
1849,The,0
1850,server,0
1851,SHOULD,0
1852,try,0
1853,to,0
1854,accept,0
1855,cookie,0
1856,values,0
1857,issued,0
1858,with,0
1859,READDIR,0
1860,responses,0
1861,even,0
1862,if,0
1863,the,0
1864,directory,0
1865,has,0
1866,been,0
1867,modified,0
1868,between,0
1869,the,0
1870,READDIR,0
1871,calls,0
1872,but,0
1873,MAY,0
1874,return,0
1875,NFS4ERR_NOT_VALID,0
1876,if,0
1877,this,0
1878,is,0
1879,not,0
1880,"possible,",0
1881,as,0
1882,might,0
1883,be,0
1884,the,0
1885,case,0
1886,if,0
1887,the,0
1888,server,0
1889,has,0
1890,rebooted,0
1891,in,0
1892,the,0
1893,interim,0
1894,In,0
1895,some,0
1896,"cases,",0
1897,the,0
1898,server,0
1899,may,0
1900,encounter,0
1901,an,0
1902,error,0
1903,while,0
1904,obtaining,0
1905,the,0
1906,attributes,0
1907,for,0
1908,a,0
1909,directory,0
1910,entry,0
1911,<NULL>.,0
1913,Instead,0
1914,of,0
1915,returning,0
1916,an,0
1917,error,0
1918,for,0
1919,the,0
1920,entire,0
1921,READDIR,0
1922,"operation,",0
1923,the,0
1924,server,0
1925,can,0
1926,instead,0
1927,return,0
1928,the,0
1929,attribute,0
